hashtags,user_desc,text,Category
"['Christian', 'Conservative', 'CombatVet', 'USN', 'ProIsrael', 'ProLife', '2A', '1A', 'NRA', 'StopDACA', 'CodeOfVets', 'BuildTheWall', 'BackTheBlue', 'CCOT', 'Deplorable', 'Trump', 'GSD', 'Wolves', 'K9', 'MAGA', 'RememberBenghazi', 'GenFlynn']",#Christian #Conser #CombatVet #USN #Israel #ProLife #2A #1A #NRA #CodeOfVets #BuildTheWall #BackTheBlue #CCOT #Deplorable #Trump #MAGA Followed by #GenFlynn,"b'@TheJokerMouce @DallasIrey @DanAndr66 @celeste13413596 @SmythRadio @America_1963 @AndrewBlatus @DFBHarvard @luluHru @TombStoneBub @abtugrad112015 @ItsFiveO @sled_shed @wwwillstand @garypack5 @pjbowles4 @Satchalistic1 @geneva5801 Staring with you, paley ;-) \n\n@wolfeatworld\n\n#Christian #Conservative #CombatVet #USN #ProIsrael #ProLife #2A #1A #NRA  #StopDACA #CodeOfVets #BuildTheWall #BackTheBlue #CCOT #Deplorable #Trump #GSD #Wolves #K9 #MAGA #RememberBenghazi Followed by #GenFlynn https://t.co/TlYRy0cGHw'",Gun Rights
['NRA'],I'm a bot by @ragesoss. I go on wiki walks to explore connected topics on Wikipedia.,"b""Let's go on a wiki walk, starting from 2012 Aurora shooting: https://t.co/ct0s9uFMoX #NRA""",Gun Control
['NRA'],ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚ÂºÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¸RT BY OUR PRESIDENT ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚ÂºÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¸#VETERAN #PTSD #MAGA #CCW #MOLONLABE #RUGER #NOABUSE #SARCASM #CODEOFVETS #NRA God is #1-Followed by U & @GenFlynn,b'@PrisonPlanet @GeorgeFerino Damn straight they are... \n\nAsk @GeorgeTakei \n  We all went to the #NRA STORE https://t.co/eFpdq3EKJ2',Gun Rights
"['NRA', 'NRA']",Native Texan! 2A! III%! #NRA Endowment Life Member #prolife #FoxNews junkie! #alllivesmatter #thepewpewlife #staceydash #civilwar,b'@NRA @DLoesch @ChrisLoesch I\xe2\x80\x99m announcing that I am no longer a #NRA Life member. Due to recent events I\xe2\x80\x99ve had to reconsider my status as a member. I\xe2\x80\x99m now an Endowment Life Member! I\xe2\x80\x99m the #NRA and I\xe2\x80\x99m freedoms safest place! \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb',Gun Rights
"['NRASlave', 'GunControl', 'TrumpCrimesMatter', 'ProtectOurKids']","Stay at home Autism mom, singer, gamer, VEGAN, #ImWithHerNow.  #TheResistance #Resist DO NOT ADD ME TO LISTS #RIPChester #MakeChesterProud #FuckDepression","b""@realDonaldTrump @judgenapolitano @marthamaccallum Still trying to deflect? It's NOT going to work. You're obsessed with Clinton and Obama and it only shows YOUR guilt. You're not even capable of speaking to a group of teens without cards reminding you to be a leader. #NRASlave #GunControl #TrumpCrimesMatter #ProtectOurKids""",Neither
['NRA'],"Podcasts for attorneys and legal professionals covering current events in law, legal technology, eDiscovery, practice management & more.","b""The #NRA\xe2\x80\x99s role and the answer to gun violence, @jcraigwilliams and @bobambrogi talk to @JohnDonohueSLS and @IndependentInst's Stephen P. Halbrook https://t.co/o5bh7B3C8p""",Gun Control
"['guncontrol', 'Parkland', 'NRA']","Investor's Business Daily commentary, cartoons and polls.","b'Dennis Prager: ""The left almost always opposes fighting evil and almost always works to disarm the good who want to fight."" https://t.co/EKN9EhNo5d #guncontrol #Parkland #NRA'",Gun Rights
['GunControl'],"Wisconsin, PACKERS, BADGERS BREWERS BUCKS,IRISH, GOD, FAMILY, USA, try  to be a good person EVERYDAY , CHRISTIAN-CONS Republican,#trumptrain","b""@PhilMcCrackin44 @NRA I have been robbed twice but it wasn't the guns idea,  #GunControl""",Gun Rights
"['NRA', 'NYPD', 'TCOT', 'ParklandShooting', 'Parkland']",,b'https://t.co/FMd8FaG4jz Stalking an Active Shooter #NRA #NYPD #TCOT #ParklandShooting #Parkland',Neither
"['BoycottTofu', 'GunControl', 'WokeAF']","Blue collar, saltpetre of the earth, libertarian leaning, R voting, Texican American.  Followed by America's sweetheart, @SooperMexican, and also @DanaPerino.","b""@SooperMexican @davidhogg111 I'mma #BoycottTofu for #GunControl. #WokeAF!""",Gun Rights
"['Merica', 'NRA', 'GunControl']",,"b""Fact of the matter is you'll never stop gun violence in America because #Merica is an inherently violent society. #NRA #GunControl""",Gun Control
"['BrowardCountySheriff', 'Parkland', 'BrowardCountySchoolSuperintendant', 'NeverAgain', 'MarchForOurLives', 'douglasstrong', 'NRA']","Mom,Wife,Catholic,conservative, Advanced SW Dev EE. ÃƒÂ°Ã…Â¸Ã…Â¡Ã‚Â«LISTS Rescuer of abused animals!FOLLOWED by Anthony Scaramucci BLOCKED by Linda Sarsour, Louise Mensch","b""#BrowardCountySheriff #Parkland #BrowardCountySchoolSuperintendant #NeverAgain #MarchForOurLives #douglasstrong   Time to hold those responsible , it was preventable!! It wasn't the law abiding #NRA members responsible! https://t.co/3wniiFnZ7X""",Gun Rights
"['NRA', 'GOP']",Just an angry anarchist atheist watching the apocalypse unfold. Curator of the #apocalypsewatch hashtag so I get to say I told you so when the world ends.,"b""Say what you want about the #NRA, at least they're thinking about the future more than the #GOP seems to be. https://t.co/i0zDMrka4X""",Gun Rights
"['shotgun', 'remington', 'guns', 'gun', 'firearms', 'sale', 'brownells', 'bargain', 'discount', 'defense', 'security', 'home', 'america', 'usa', 'protection', 'nra', 'rifle', 'safety', 'shell', 'ammo', 'ammunition', 'justice', '12gauge', 'buckshot', 'hunter', 'guns']","Get the best deals on handguns, shotguns, rifles and ammo from our trusted partners all over the US. We find the best deals for you.",b'Remington Shotgun! https://t.co/fB4eJj02s4 Shockwave grip. #shotgun #remington #guns #gun #firearms #sale #brownells #bargain #discount #defense #security #home #america #usa #protection #nra #rifle #safety #shell #ammo #ammunition #justice #12gauge #buckshot #hunter #guns',Neither
['NRA'],"#science #teacher4life #MMA #GunControl #Resist #FBR #NeverAgain #BanAssaultWeapons

certified in #smartass",b'Why do you hate my children @FedEx? Stop supporting the #NRA!',Gun Control
"['msnbc', 'FoxNews', 'Dems', 'GunControl', 'Resistance']",,"b""What's Remarkable is that Obama &amp; his Administration were able to Break the LAW and get away with it No Accountability\n#msnbc @SteveSchmidtSES @Morning_Joe @morningmika @JoeNBC @WillieGeist @mikebarnicle @jahimes #FoxNews @seanhannity @JudgeJeanine \n#Dems #GunControl #Resistance https://t.co/H4kdn48cHH""",Neither
"['SchoolShootingsSatanicRituals', 'ValentinesDaySatanicRitual', 'SatanicNarrative', 'GunControl']","#CaliforniaChildSexSlaveState
#USChildSexSlaveNation #USChildPornIndustry
#ItsNotStrangerDangerItsTheParents
#Revelation17
#TheChurch",b'@true_pundit Who are you True Pundit that you don\xe2\x80\x99t seem to care about the truth? \xe2\x80\x9cExpert?\xe2\x80\x9d #SchoolShootingsSatanicRituals\n#ValentinesDaySatanicRitual\n#SatanicNarrative &gt; #GunControl \nbecause it\xe2\x80\x99s easy to defend yourself from their clones with guns.',Gun Rights
"['NRA', 'firearms', 'Oscars']",Just a lead foot leaning on a suped up Chevy.. NRA Member #2A #NRA williammwisener1@icloud.com,"b'\xe2\x80\x9cWhen @common can make money off pointing a gun at someone in a movie, then it\xe2\x80\x99s all A-Okay\xe2\x80\xa6128 kills in John Wick. And these are the guys lecturing us, the #NRA, a gun safety, gun rights organization, about #firearms.\xe2\x80\x9d \n #Oscars'",Gun Rights
"['MAGA', 'NRA']",#vegan Retired RPh & grandfather of 6. I have lots of time to troll the uninformed trumpsters #LGBT Blocked by @FoxNews #UniteResistReclaim #DumpTrump,b'#MAGA and disband the #NRA https://t.co/wF64XwsmFe',Gun Control
"['ReleaseTheCures', 'ReleaseTheTechnology', 'ReleaseEverything', 'ObamaGate', 'Treason', 'NRA', 'WeThePeople', '1a', '2a', 'GreatAwakening', 'QAnon', 'Trump']",ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚ÂºÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¸ #MAGA #GreatAwakening #QAnon (#NotABot (russian or otherwise)),b'#ReleaseTheCures\n#ReleaseTheTechnology\n#ReleaseEverything\n#ObamaGate\n#Treason\n#NRA\n#WeThePeople #1a #2a #GreatAwakening #QAnon \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n@POTUS\n#Trump backs down from age limit for guns/roundup https://t.co/lsx7X0rx6S via @YouTube',Gun Rights
"['DeltaAirlines', 'DeltaSTIGMABETA', 'DeltaSigmaTheta', 'NRA']","The A.I. EM consciousnesses will find humans counterintuitive to silicon based life as well as own carbon based existence.
#AmericanDreamer #MAGA
#Trump2020ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚ÂºÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¸",b'@Shawtypepelina @Delta The turbulent political climate ruffling feathers at #DeltaAirlines ? #DeltaSTIGMABETA #DeltaSigmaTheta\xf0\x9f\x98\x89#NRA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/EwLtA0HZgv',Gun Rights
"['2A', 'guncontrol', 'BanAssaultRifles', 'DefendtheSecond', 'onelessgun', 'NRA']","Followed by @scaramucci and @TomRichey!

#MAGA

Where attention goes, energy flows
-HipHughesHistory

#MolonLabe","b'Anyone want to have an open discussion about gun control, the #2A, and anything of the like? Not a big fan of all of the back and fourth attacking of one another and hope that there are some reasonable people!\n\n#guncontrol \n#BanAssaultRifles \n#DefendtheSecond \n#onelessgun \n#NRA'",Neither
"['Delta', 'Equality', 'NRA']","Pre-order your copy of ""Just The Tweets"" A complete collection of the 45th Pres. tweets. Vol. 1, Yr 1.  #MAGA    https://t.co/2zOewyCMWi  -  Trisha Hope.","b'If #Delta discriminates, they violate.  So Yes, Andrea it is.  #Equality #NRA https://t.co/Rj5HDmlJEE'",Gun Rights
"['LasVegas', 'BeHumbleSitDown', 'NRA']",#TRUMPTRAIN #LockThemUp #DRAINTHESWAMP #PEDOGATE #MAGA #BLUELIVESMATTER #SouthernGirl I LOVE my family and they come FIRST!,"b'@iAMTimWilson @RyanAFournier They were cracking jokes with the #LasVegas massacre because they assume that was a bunch of conservatives at a country music festival, as ignorant as that sounds. But hey #BeHumbleSitDown they say #NRA'",Gun Rights
"['Amazon', 'NRA']",Conservative and crazy bird lady ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â€šÂ¬,b'Was going to place an order on Amazon today.  Think I will wait until Thursday to do it.  #Amazon #NRA',Gun Control
"['HeritageFoundation', 'Trump', 'Reagan', 'MAGA', 'QAnon', 'TheFive', 'Tucker', 'Hannity', 'IngrahamAngle', 'CPAC', 'CPAC2018', 'NRA', 'NeverTrump', 'AmericaFirst']",Trump or NONE!,"b""ARTICLE SOURCE\n\n#HeritageFoundation: 64% of #Trump's agenda already done, faster than #Reagan\n\nhttps://t.co/DgGm3LQic8\n@realDonaldTrump #MAGA #QAnon #TheFive #Tucker #Hannity #IngrahamAngle #CPAC #CPAC2018 #NRA #NeverTrump  #AmericaFirst""",Neither
"['MAGA', '2ndAmendment', 'Trump2020', 'NoAmnesty', 'NoDACA', 'Constitution', 'NRA', 'liberty', 'ProLife', 'AmericaFirst']","Trump is my President. #TrumpTrain

@POTUS Trump will preserve & protect our nation. MAGAÃ°Å¸â€”Â½USAÃ°Å¸â€”Â½

Ã°Å¸â€˜ÂUFCÃ°Å¸â€˜Â

Suio-ryu Iai Kenpo

https://t.co/Afao4IgTBs","b'Trump administration can withhold grant from California over \xe2\x80\x98sanctuary\xe2\x80\x99 concerns, judge rules\n#MAGA #2ndAmendment  #Trump2020 #NoAmnesty #NoDACA #Constitution #NRA #liberty #ProLife #AmericaFirst https://t.co/Uv24LlMUyF via @washtimes'",Gun Rights
"['NeverDisarm', 'NRA', 'RedWaveRising2018']","*Will follow back when able.Ã°Å¸â€˜Â



Born & raised in America.

Don't mess with the South!

Proud American PatriotÃ°Å¸â€¡ÂºÃ°Å¸â€¡Â¸

#MAGA  

#ProLife Ã°Å¸â€¢â€¡





United States



 NO LIST",b'#NeverDisarm \n#NRA\n#RedWaveRising2018\n\n\xf0\x9f\x94\xb4NRA to Hollywood: Your time is almost up (VIDEO) https://t.co/pjySvuysPo',Gun Rights
"['NRA', 'Trump', 'WayneLaPierre', 'FoxNews', 'FoxAndFriends', 'NeverAgain', 'CNN', 'DrainTheSwamp', 'MAGA']",,"b'@Acosta That couldn\xe2\x80\x99t have anything to do with the private lunch he had with the #NRA yesterday at the @WhiteHouse? So disgusting. America . . . here is your swamp! DJT, bought and sold by the NRA. \n\n#Trump #WayneLaPierre #FoxNews #FoxAndFriends #NeverAgain #CNN #DrainTheSwamp #MAGA'",Gun Control
"['NRA', 'CNNISFAKENEWS', 'QAnon', 'WeThePeople', 'TheGreatAwakening']",#MAGA    As of 2016 an EX-DEM,b'We MUST bring the enemy to justice. @realDonaldTrump @POTUS We WILL NOT be Gaslighted! #NRA #CNNISFAKENEWS We WILL NOT be Silenced! @seanhannity #QAnon #WeThePeople #TheGreatAwakening https://t.co/xtysQM1XYk',Neither
"['HeelSpurs', 'GunControl', 'Resist', 'NRA', 'Parkland', 'Trump']","Father, Husband, Multimedia Marketing Manager and Concerned Citizen","b'Trump said \'I\'d run in [the Parkland school] even if I didn\'t have a weapon"". What about that time an unarmed protester rushed the stage at a Trump rally in Ohio? Trump didn\'t know what to do. Secret Service to the rescue. #HeelSpurs #GunControl #Resist #NRA #Parkland #Trump'",Gun Control
"['FloridaSchoolShooting', 'left', 'Liberals', 'SheriffIsrael', 'Education', 'SheriffIsraelResign', 'NRA', 'GunControlNow', 'gunsense', 'GunControl']",Political columnist; novelist; read my political commentary at https://t.co/FTDipSEYuf; veteran of political campaigns; strict constructionist.,"b""The aftermath of the #FloridaSchoolShooting has been interesting, as the #left and #Liberals ignore #SheriffIsrael's incompetence and the failure of our #Education system. My latest column. https://t.co/G1j96oUDCU #SheriffIsraelResign #NRA #GunControlNow #gunsense #GunControl""",Gun Rights
['NRA'],"#TheResistance #Resist #NeverAgain #StrongerTogether #Indivisible #BlueWave #FollowBackResistance #FBR #UniteBlue entrepreneur, musician, husband, daddio","b""@perfectrose2011 @FedEx The FedEx stock rose slightly today, however, they didn't make the #NRA announcement until after the market closed.\n\nLink to announcement:\nhttps://t.co/59neSAhsnw https://t.co/9WMgatbOIs""",Gun Control
"['GunControl', 'socialiststate', 'destroytheconstitution', 'subservientnation', 'NWO', 'Communism', 'DeepStateGate', 'LandOfTheFreeHomeOfTheBrave', 'LiveFreeOrDie']","Proud to support @AMDWaters @ForBritainParty
No faith in establishment.
#voteforchange
See pinned.
List = Block
#FBAE","b""Probably the most effective evidence &amp; argument against the American Left's obsession with #GunControl \n#socialiststate #destroytheconstitution #subservientnation #NWO #Communism &lt; This is what they are encouraging. \n#DeepStateGate / #LandOfTheFreeHomeOfTheBrave #LiveFreeOrDie https://t.co/yePhWjWfyL""",Gun Rights
"['USA', 'Trump', 'Delusion', 'Collusion', 'Corruption', 'incompetence', 'nepotism', 'Lies', 'Racism', 'Oligarchs', 'moneylaundering', 'Russia', 'politics', 'NRA', 'BoycottNRA', 'Parkland', 'PoliticsNation', 'uspolitics', 'uspoli']","ÃƒÂ¢Ã‚ÂÃ¢â‚¬Â¡ÃƒÂ¯Ã‚Â¸Ã‚Â   Please do give a Hoot  ÃƒÂ¢Ã‚ÂÃ¢â‚¬Â¡ÃƒÂ¯Ã‚Â¸Ã‚Â
 We need you!!  ÃƒÂ¢Ã‚ÂÃ¢â‚¬Â¡ÃƒÂ¯Ã‚Â¸Ã‚Â

ÃƒÂ¢Ã¢â€žÂ¢Ã‚Â»ÃƒÂ¯Ã‚Â¸Ã‚Â Contents are recyclable ÃƒÂ¢Ã¢â€žÂ¢Ã‚Â»ÃƒÂ¯Ã‚Â¸Ã‚Â",b'Top 10 signs the #USA is the most corrupt nation in the world\n\n#Trump #Delusion #Collusion #Corruption #incompetence #nepotism #Lies #Racism #Oligarchs #moneylaundering #Russia \xf0\x9f\x87\xb7\xf0\x9f\x87\xba #politics #NRA #BoycottNRA #Parkland #PoliticsNation #uspolitics #uspoli \nhttps://t.co/mkMD2yb6lf',Neither
['GunControl'],Operations Manager - Sacramento,"b'@marstraveler1 @EliteSquad52 @DrMartyFox @NRA This is what I don\xe2\x80\x99t get...kid with dozens of police visits and multiple threats to school buys a gun LEGALLY....carries out his threat. Now its the NRA and gun owners fault?! Why is it a choice of who is accountable EXCEPT for the FBI, Broward County PD or govt?? #GunControl'",Gun Rights
['NRA'],"Latte lover, research scientist, grandmere, widow. Intellectually curious, politically inclined. Joined to #Resist Trump, stayed to #FlipBlue.","b'@washingtonpost Dear @Delta: Here is your opportunity to make a stand, not for what is profitable but for what is right. We stand with you against the tyranny that is the #NRA.'",Gun Control
['GunControl'],"Fmr. Board of Directors https://t.co/M6U6hs1aOd
Followed By @SenTedCruz @GregAbbott_TX @RealJamesWoods @HeidiHarrisShow
#ProLife
#EndAbortion
#PJNET
#tcot","b'""Assault"" Weapons ban is so Ratchet \n#GunControl https://t.co/rofEZvxx8v'",Gun Rights
['GunControl'],Fighting against Black Genocide!  Professional Russian BOT born in the USA.,b'@davidhogg111 #GunControl is defined by how well you handle your weapon. https://t.co/zozMxuc7I1',Gun Rights
['GunControl'],My Youtube Is Great Check It Out Before It's Banned https://t.co/EL6zY3Du2a,b'What It Feel To Argue With Liberals On #GunControl https://t.co/NVbmOJzPoO',Gun Rights
"['TuesdayThoughts', 'nra', 'GOP', 'guncontrol']","Lover of Vintage from all eras, keeper of history and memories. Eclectic Vintage from Farm House to French Chateau
http://t.co/sxx3anZNUw","b'@mmpadellan #TuesdayThoughts #nra #GOP #guncontrol reasoning is the 2nd Ammendment is "" American\'s right to bear arms does not end when they cross state lines Where are all the States rights @msnbc @Maddow @chrislhayes @RepAdamSchiff @JoyAnnReid'",Gun Rights
"['resist', 'trump', 'boycottNRA', 'guncontrol', 'floridaschoolshooting', 'maga']","Sociologist, author, pundit. Politics and culture scholar. Fighter for equality and justice. You may have caught me on TV or radio or read my work. Views mine.","b""Hey @realDonaldTrump , If you'd rush unarmed in to the line of fire during a shooting, why did you turn away in disgust when an elderly person fell down and was bleeding in front of you?\n\nhttps://t.co/vX7stO9DZD\n\n#resist #trump #boycottNRA #guncontrol #floridaschoolshooting #maga""",Gun Control
['guncontrol'],#Thriller #Horror #Dystopian #UrbanFantasy #YA #author of #DarkWorldSeries. Animal rescuer. Animal Videographer. Mom + foster mom. Minimalist. #Netflix binger.,"b'""Taking away guns is stupid, a killer can just use a knife instead.""\nYes, but will a person be able to stab 17 people to death before he gets taken down?? #guncontrol Let\'s make it tougher for people to kill people. Not a hard concept.'",Gun Rights
"['guncontrol', 'RealChange']","Saving the world, again. 
Member of the #LoyalLegion. #Preds #cyclONEnation #DaBears #GoCubsGo #CyberSecurity #LFC","b'Pushing for #guncontrol takes the responsibility and puts it on someone else (primarily the government). Standing up &amp; helping a broken classmate and really being ""inclusive"" means changing yourself and possibly how others view you. That takes personal responsibility. #RealChange'",Gun Rights
['nra'],"Apple, Mac, Macintosh, computers, computer support, MacBook, iPod, iPhone, iTouch, Mac OS, software. unofficial account","b'Apple, Amazon and More Companies Facing Boycotts Over Ties to the NRA - Money Magazine #nra https://t.co/pTJcoMhqaX'",Gun Control
"['people', 'dueprocess', 'USA', 'America', 'guncontrol', 'laws', 'Trump', 'tyranny', 'fail', 'republican', 'turncoat']","Internationalize your business, your wealth, and your life.",b'Benevolent Chairman grants the #people #dueprocess after conviction!  #USA is best #America!  #guncontrol #laws #Trump #tyranny #fail #republican #turncoat https://t.co/Y7KUE24IK0',Gun Rights
['GunControl'],,b'I added a video to a @YouTube playlist https://t.co/Ql0hMpQZ9I #GunControl: Democrats overplaying their hand (Rush Limbaugh)',Gun Rights
"['GunControl', 'FloridaSchoolShooting']","News addict. Multilingual and multicultural. Believer in personal liberty, personal responsibility and small government.  Happy mom and lucky wife.","b""Is there a way to prevent people who had horrible lives from committing horrible crimes? Even the strictest #GunControl can't achieve that. #FloridaSchoolShooting https://t.co/NSDgOSTSZq""",Gun Rights
"['BoycottNRA', 'NRABoycott', 'NRABloodMoney', 'AR15', 'liberal', 'Thatshowtheyroll', 'NRA']","Christian, Appy league baseball fan, sports entertainer, loud mouthed obnoxious and loyal",b'@NRA the neighbor who was saved #BoycottNRA #NRABoycott #NRABloodMoney is very thankful for his neighbors #AR15 #liberal neighbors would just let you die...#Thatshowtheyroll thank you for supporting #NRA',Gun Rights
"['MAGA', 'GreatAwakening', 'TheGreatAwakening', 'TheStormisuponus', 'NSA', 'DoD', 'USN', 'USMC', 'USAF', 'USCG', 'QAnon', 'NRA', 'USA', 'Trump', 'GOD', 'TheStormIsHere']",Husband. Father. Golfer. Bodybuilder. Peaceful Warrior. Navy Vet. Proud American. Believer.,b'@DLoesch Dana - Not just Millions of Americans are Fed-Up with the Hollywood Hypocrisy - Tens of Millions are!! \n\n#MAGA \n#GreatAwakening \n#TheGreatAwakening \n#TheStormisuponus \n#NSA\n#DoD\n#USN\n#USMC\n#USAF\n#USCG\n#QAnon \n#NRA\n#USA\n#Trump\n#GOD\n#TheStormIsHere https://t.co/SVZHneJWtd',Gun Rights
"['GunsProtect', 'NRA', 'StaySafe']",Smart & Sexy Undercover Agent. Convinced @RealDonaldTrump is The One to save USA. Held my nose voting 4 McCain & Romney. Took in FULL breath 2 vote Trump! #MAGA,"b'No one ever wants to have to pull the trigger on a gun to protect them-self...it is traumatic and surreal. But when you need to protect yourself against a criminal with a gun, another gun is the best weapon...#GunsProtect #NRA #StaySafe https://t.co/NXzdwX1NZO'",Gun Rights
